PO_NUMBER,AGENCY_NAME,NIGP_DESCRIPTION,PO_TOTAL_AMOUNT,ORDER_DATE,SUPPLIER,SUPPLIER_FULL_ADDRESS,SUPPLIER_CITY,SUPPLIER_STATE
PO440788,CHILD AND FAMILY SERVICES,MEDICAL CONSULTING 78,$38480.00,10/01/2012,LAKIESHA HARDY,3813 SWANN ROAD #103   ; SUITLAND  ; MD  ; 20746-,SUITLAND  ,MD
PO457050,DEPART OF YOUTH REHABILITATION SERVICES,YOUTH CARE SERVICES 95,$523215.00,02/25/2013,"PCC STRIDE, INC.","3001 BLADENSBURG ROAD, NE  ; WASHINGTON  ; DC  ; 20018",WASHINGTON  ,DC
PO457028,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"EDUCATIONAL: FOREIGN LANGUAGES, MATH, SCIENCE, SOCIAL STUDIES, ETC. 43",$17659.00,02/25/2013,"NCS PEARSON, INC",5601 GREEN VALLEY DRIVE  ; BLOOMINGTON  ; MN  ; 55437,BLOOMINGTON  ,MN
PO457046,DEPARTMENT OF MENTAL HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$548400.00,02/25/2013,"DC CHOICES, LLC","4701 N. KEYSTONE AVE,SUITE 150  ; INDIANAPOLIS  ; IN  ; 46205",INDIANAPOLIS  ,IN
PO455456-V3,DEPARTMENT OF GENERAL SERVICES,"BUILDING CONSTRUCTION, NON-RESIDENTIAL (OFFICE BLDG., ETC.) 22",$15002300.00,02/25/2013,PRINCE CONST/WM SCHLOSSER JV,1111 GOOD HOPE ROAD SE  ; WASHINGTON  ; DC  ; 20020,WASHINGTON  ,DC
PO441051-V2,DEPARTMENT ON DISABILITY SERVICES,TRANSITIONAL LIVING 92,$196136.16,02/25/2013,CARL'S PLACE,1523 WHITE PLACE SE   ; WASHINGTON  ; DC  ; 20020-,WASHINGTON  ,DC
PO457045,HOMELAND SECURITY GRANTS,"TWO-WAY RADIO, PORTABLE, INCLUDING VEHICLE RADIO RELAY SYSTEMS 74",$1177665.11,02/25/2013,"MOTOROLA, INC.",1303 E. ALGONQUIN ROAD   ; SCHAUMBURG  ; IL  ; 60196-,SCHAUMBURG  ,IL
PO452125-V2,DEPT. OF HOUSING AND COMM. DEVELOPMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$5400.00,02/25/2013,DUN & BRADSTREET,103 JFK PARKWAY   ; SHORT HILLS  ; NJ  ; 07078-,SHORT HILLS  ,NJ
PO457020,DC PUBLIC LIBRARY,EMERGENCY MEDICAL SERVICES (SEE 948-12 FOR AMBULANCE SERVICES) 37,$3610.00,02/25/2013,GEORGE WASHINGTON UNIV HOSP,"900 23RD STREET, NORTHWEST   ; WASHINGTON  ; DC  ; 20037-",WASHINGTON  ,DC
PO457004,DC PUBLIC LIBRARY,CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32,$24500.00,02/25/2013,LYRASIS,"1438 WEST PEACHTREE STREET, N. SUITE 200  ; ATLANTA  ; GA  ; 30309-",ATLANTA  ,GA
PO457016,DEPARTMENT OF TRANSPORTATION,TRANSPORTATION CONSULTING 96,$331191.72,02/25/2013,"ALTA BICYCLE SHARE, INC.",711 SE GRAND AVENUE  ; PORTLAND   ; OR  ; 97214,PORTLAND   ,OR
PO457012,STATE SUPERINTENDENT OF EDUCATION (OSSE),"SECURITY SCREENING SERVICES, PERSONNEL 68",$4480.00,02/25/2013,ALLIED BARTON SECURITY SERVICE,3606 HORIZON DRIVE  ; KING OF PRUSSIA  ; PA  ; 19406,KING OF PRUSSIA  ,PA
PO446747-V2,DC PUBLIC LIBRARY,"PROGRAMMING: BASIC, ASSEMBLER, COMPUTER ASSISTED SOFTWARE ENGINEERING TOOLS (CASE), LIBRARIES, ETC. 67",$666843.24,02/25/2013,XEROX CORPORATION,100 S. CLINTON AVENUE XRX2-40A  ; ROCHESTER  ; NY  ; 14644-,ROCHESTER  ,NY
PO457029,DEPT. OF CONSUMER AND REGULATORY AFFAIRS,"COPY MACHINES, BOND (PLAIN) PAPER TYPE INCLUDING PARTS AND ACCESSORIES 38",$12095.88,02/25/2013,XEROX CORPORATION,100 S. CLINTON AVENUE XRX2-40A  ; ROCHESTER  ; NY  ; 14644-,ROCHESTER  ,NY
PO457057,DEPARTMENT OF TRANSPORTATION,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$8000.00,02/25/2013,CNA,959 CONCORD ST #200  ; FRAMINGHAM   ; MA  ; 01701,FRAMINGHAM   ,MA
PO453578-V2,DEPARTMENT OF HEALTH,HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48,$13500.00,02/26/2013,METRO DC GLBT COMM CTR,1111 14TH STREET NW                                #350  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO456730,DEPARTMENT OF TRANSPORTATION,CONFERENCE COORDINATING AND PLANNING SERVICES 23,$7958.53,02/26/2013,SODEXHO,PO BOX 590504  ; WASHINGTON  ; DC  ; 20059,WASHINGTON  ,DC
PO457183,DEPARTMENT OF HEALTH,"PRINTERS, MICROCOMPUTER (NOT OTHERWISE CLASSIFIED) 82",$15000.00,02/26/2013,XEROX CORPORATION,100 S. CLINTON AVENUE XRX2-40A  ; ROCHESTER  ; NY  ; 14644-,ROCHESTER  ,NY
PO457086,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$4200.00,02/26/2013,SONDRA ARKIN,1764 CHURCH ST NW   ; WASHINGTON  ; DC  ; 20036-,WASHINGTON  ,DC
PO457100,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$7440.00,02/26/2013,JUDY BYRON,"1910 PARK ROAD, NW   ; WASHINGTON  ; DC  ; 20010-",WASHINGTON  ,DC
PO457095,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$3150.00,02/26/2013,CORY OBERNDORFER,"4335 HARRISON STREET, NW, #4   ; WASHINGTON  ; DC  ; 20015-",WASHINGTON  ,DC
PO457139,OFFICE OF CHIEF FINANCIAL OFFICER,COMPUTER HARDWARE CONSULTING 28,$96410.00,02/26/2013,GARTNER INC,56 TOP GALLANT   ; STAMFORD  ; CT  ; 06904-,STAMFORD  ,CT
PO457089,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$4200.00,02/26/2013,NELSON GUTIERREZ,"501 SLATERS LANE, APT 1211 APT 1211  ; ALEXANDRIA  ; VA  ; 22314",ALEXANDRIA  ,VA
PO457084,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$4200.00,02/26/2013,DANIEL PERKINS,8 BEECHDALE ROAD  ; BALTIMORE  ; MD  ; 21210,BALTIMORE  ,MD
PO457091,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$27300.00,02/26/2013,JIM SANBORN,1679 35TH STREET NW  ; WASHINGTON  ; DC  ; 20007,WASHINGTON  ,DC
PO457184,DEPARTMENT OF HEALTH,MEMBERSHIP DUES 48,$30210.00,02/26/2013,PUBLIC HEALTH ACCRED. BOARD,1600 DUKE STREET SUITE 440  ; ALEXANDRIA  ; VA  ; 22314,ALEXANDRIA  ,VA
PO457135,EQUIPMENT LEASE - CAPITAL,"FURNITURE, LABORATORY (CUSTOM MADE) 55",$10000.00,02/26/2013,RISK MANAGEMENT ASSOCIATES,"4000 WESTCHASE BLVD., STE 350  ; RALEIGH  ; NC  ; 27607",RALEIGH  ,NC
PO455929-V2,DEPARTMENT OF MENTAL HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$318939.00,02/26/2013,HEALTH MANAGEMENT ASSOCIATES,120 N. WASHINGTON SQUARE SUITE 705  ; LANSING  ; MI  ; 48933,LANSING  ,MI
PO457104,DISTRICT DEPARTMENT OF THE ENVIRONMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$4500.00,02/26/2013,FREDERIC TRUSLOW,3009 Q STREET NW  ; WASHINGTON  ; DC  ; 20007,WASHINGTON  ,DC
PO457099,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$2940.00,02/26/2013,SCOTT G BROOKS,"929 FLORIDA AVE., NW APT. 7008  ; WASHINGTON  ; DC  ; 20001",WASHINGTON  ,DC
PO455259,DEPARTMENT OF GENERAL SERVICES,CONSTRUCTION MANAGEMENT SERVICES 26,$260810.50,02/26/2013,R MCGHEE & ASSOCIATES,"740 6TH STREET, NW SUITE 302  ; WASHINGTON   ; DC  ; 20001",WASHINGTON   ,DC
PO457170,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SPECIAL EDUCATION 74,$50446.50,02/26/2013,TRANSATLANTIC PROFESSIONAL,"GROUP, LLC 1629 K STREET, NW, STE 300  ; WASHINGTON  ; DC  ; 20006-",WASHINGTON  ,DC
PO452800-V2,OFFICE OF CHIEF FINANCIAL OFFICER,ADMINISTRATIVE CONSULTING 06,$40218.75,02/26/2013,WASHINGTON INVESTMENT ADVISORS,"1010 VERMONT AVE., NW SUITE 710  ; WASHINGTON  ; DC  ; 20005",WASHINGTON  ,DC
PO457169,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"CABLE CONSTRUCTION, INSTALLATION AND MAINTENANCE (FIBER OPTIC, COMMUNICATION, COMPUTER, ETC.) 18",$3149.50,02/26/2013,IDENTIX INCORPORATED,5705 W OLD SHAKOPEE RD STE 100  ; BLOOMINGTON  ; MN  ; 55437-3107,BLOOMINGTON  ,MN
PO457129,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"MICROCOMPUTERS, HANDHELD, LAPTOP, AND NOTEBOOK 54",$5255.30,02/26/2013,DELL COMPUTER CORP.,ONE DELL WAY   ; ROUND ROCK  ; TX  ; 78682-,ROUND ROCK  ,TX
PO457097,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$4500.00,02/26/2013,SHEILA CRIDER,"3610 BROTHERS PLACE, SE   ; WASHINGTON  ; DC  ; 20032-",WASHINGTON  ,DC
PO457077,STATE SUPERINTENDENT OF EDUCATION (OSSE),YOUTH CARE SERVICES 95,$7500.00,02/26/2013,HOWARD ROAD ACADEMY PCS,"701 HOWARD ROAD, SE   ; WASHINGTON  ; DC  ; 20020-",WASHINGTON  ,DC
PO457103,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$10000.00,02/26/2013,ANNA U. EDHOLM DAVIS,"230 UNDERWOOD ST., NW   ; WASHINGTON  ; DC  ; 20012-",WASHINGTON  ,DC
PO457167,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"COMPUTERS, PARTS AND SUPPLIES 29",$4179.95,02/26/2013,APPLE COMPUTER INC,1 INFINITE LOOP   ; CUPERTINO  ; CA  ; 95014-,CUPERTINO  ,CA
PO457150,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"EDUCATIONAL GAMES AND TOYS, ALL TYPES (SEE 037-84; 208-47; 209-48; AND 805-51 FOR OTHER TYPE GAMES) 53",$5865.68,02/26/2013,APPLE COMPUTER INC,1 INFINITE LOOP   ; CUPERTINO  ; CA  ; 95014-,CUPERTINO  ,CA
PO457163,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"COMPUTERS, PARTS AND SUPPLIES 29",$4657.32,02/26/2013,APPLE COMPUTER INC,1 INFINITE LOOP   ; CUPERTINO  ; CA  ; 95014-,CUPERTINO  ,CA
PO457121,DISTRICT DEPARTMENT OF THE ENVIRONMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$24000.00,02/26/2013,THE AQUILINE GROUP,1801 COLUMBIA ROAD NW SUITE 101  ; WASHINGTON  ; DC  ; 20009-,WASHINGTON  ,DC
PO457136,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$4750.00,02/26/2013,"MOSAIC URBAN PARTNERS, LLC",910 17TH STREET NW SUITE 410  ; WASHINGTON  ; DC  ; 20006,WASHINGTON  ,DC
PO457078,STATE SUPERINTENDENT OF EDUCATION (OSSE),YOUTH CARE SERVICES 95,$10000.00,02/26/2013,SEPTIMA CLARK PCS,2501 MARTIN LUTHER KING JR.  AVE. SE  ; WASHINGTON  ; DC  ; 20020-,WASHINGTON  ,DC
PO457134,DEPARTMENT OF FORENSICS SCIENCES,CLINICAL FORENSIC AND POSTMORTEM EQUIPMENT AND SUPPLIES (NOT OTHERWISE CLASSIFIED) 16,$4045.30,02/26/2013,PAULETTE WASHINGTON,1426 9TH STREET NW 4TH FLOOR  ; WASHINGTON   ; DC  ; 20001,WASHINGTON   ,DC
PO363679-V3,EQUIPMENT LEASE - CAPITAL,COMPUTER SOFTWARE CONSULTING 29,$47601.36,02/26/2013,"OST, INC.","2001 M STREET, NW SUITE 3000  ; WASHINGTON  ; DC  ; 20036-3310",WASHINGTON  ,DC
PO363602-V2,EQUIPMENT LEASE - CAPITAL,COMPUTER SOFTWARE CONSULTING 29,$17986.96,02/26/2013,"OST, INC.","2001 M STREET, NW SUITE 3000  ; WASHINGTON  ; DC  ; 20036-3310",WASHINGTON  ,DC
PO455411,DEPARTMENT OF GENERAL SERVICES,"HEATING, AIR CONDITIONING, AND VENTILATION MAINTENANCE AND REPAIR SERVICES (INCLUDING INSTALLATION) 36",$50000.00,02/26/2013,W S JENKS & SON,953 V STREET NE  ; WASHINGTON  ; DC  ; 20018,WASHINGTON  ,DC
PO457076,STATE SUPERINTENDENT OF EDUCATION (OSSE),"EDUCATIONAL SERVICES, ALTERNATIVE 18",$70000.00,02/26/2013,DISTRICT OF COLUMBIA AGENCIES,CHILD SUPPORT ENFORCEMENT DIV. 441 4TH STREET NW  STE 1130N  ; WASHINGTON  ; DC  ; 20001-,WASHINGTON  ,DC
PO386243-V3,OFFICE OF CHIEF FINANCIAL OFFICER,COMPUTER HARDWARE CONSULTING 28,$89390.40,02/26/2013,"OST, INC.","2001 M STREET, NW SUITE 3000  ; WASHINGTON  ; DC  ; 20036-3310",WASHINGTON  ,DC
PO363478-V3,EQUIPMENT LEASE - CAPITAL,COMPUTER SOFTWARE CONSULTING 29,$36238.40,02/26/2013,"OST, INC.","2001 M STREET, NW SUITE 3000  ; WASHINGTON  ; DC  ; 20036-3310",WASHINGTON  ,DC
PO457073,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,$32361.60,02/26/2013,"OST, INC.","2001 M STREET, NW SUITE 3000  ; WASHINGTON  ; DC  ; 20036-3310",WASHINGTON  ,DC
PO449240-V2,DEPARTMENT OF EMPLOYMENT SERVICES,COMPUTER SOFTWARE CONSULTING 29,$13281.00,02/26/2013,"OST, INC.","2001 M STREET, NW SUITE 3000  ; WASHINGTON  ; DC  ; 20036-3310",WASHINGTON  ,DC
PO456833,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$8680.00,02/26/2013,RADIO ONE INC.,8515 GEORGIA AVE   ; SILVER SPRING  ; MD  ; 20910-,SILVER SPRING  ,MD
PO457146,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,RESOURCE BOOKS AND MATERIALS (NOT OTHERWISE CLASSIFIED) 87,$4898.32,02/26/2013,TEMPO BOOKSTORE,4905 WISCONSIN AVENUE NW  ; WASHINGTON  ; DC  ; 20016,WASHINGTON  ,DC
PO457141,BOARD OF ELECTIONS,"PENS, FOUNTAIN 79",$31963.13,02/26/2013,MDM OFFICE SYSTEMS DBA STANDARD OFFICE SUPPLY,STANDARD BUSINESS FURNITURE 35 SHERIDAN STREET  ; WASHINGTON  ; DC  ; 20011-,WASHINGTON  ,DC
PO457075,STATE SUPERINTENDENT OF EDUCATION (OSSE),YOUTH CARE SERVICES 95,$192629.31,02/26/2013,SEED FOUNDATION,4300 C STREET SE   ; WASHINGTON  ; DC  ; 20019-,WASHINGTON  ,DC
PO457082,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$100000.00,02/26/2013,DC ARTS & HUMANITIES EDUCATION,"1835 14TH STREET, NW   ; WASHINGTON  ; DC  ; 20009-",WASHINGTON  ,DC
PO457148,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,TEXTBOOKS: 9TH THRU 12TH GRADE (INCLUDES STUDENT AND TEACHER EDITIONS) 87,$5424.48,02/26/2013,INTAC INC,1110 FIDLER LANE                                   SUITE 1115  ; SILVER SPRING  ; MD  ; 20910,SILVER SPRING  ,MD
PO438187,DEPARTMENT OF GENERAL SERVICES,CONSTRUCTION MANAGEMENT SERVICES 26,$10982.00,02/26/2013,"FLIPPO CONSTRUCTION CO., INC.",3820 PENN BELT PLACE   ; FORESTVILLE  ; MD  ; 20747-,FORESTVILLE  ,MD
PO457102,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$7500.00,02/26/2013,THE THEATRE LAB,"733 8TH STREET, NW   ; WASHINGTON  ; DC  ; 20001-",WASHINGTON  ,DC
PO457160,DEPARTMENT OF MENTAL HEALTH,JANITORIAL/CUSTODIAL SERVICES 39,$143477.04,02/26/2013,CLEAN TEAM JANITORIAL SVCS,3202 BANNEKER DR. NE  ; WASHINGTON   ; DC  ; 20018,WASHINGTON   ,DC
PO450883-V2,OFFICE OF CHIEF FINANCIAL OFFICER,ADMINISTRATIVE CONSULTING 06,$210000.00,02/26/2013,DATA CAPTURE TECHNOLOGIES,4922 ASHFORD DRIVE  ; UPPER MARLBORO  ; MD  ; 20772,UPPER MARLBORO  ,MD
PO453583-V2,DEPARTMENT OF HEALTH,HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48,$45000.00,02/26/2013,US HELPING US PEOPLE INTO LIVI,811 L STREET SE  ; WASHINGTON  ; DC  ; 20003,WASHINGTON  ,DC
PO453569-V2,DEPARTMENT OF HEALTH,HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48,$28125.00,02/26/2013,"LA CLINICA DEL PUEBLO, INC.","1470 IRVING STREET, NW  ; WASHINGTON  ; DC  ; 20010",WASHINGTON  ,DC
PO457162,DEPARTMENT OF MENTAL HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$7325.00,02/26/2013,THE MARYLAND STATE MEDICAL SOC,1211 CATHEDRAL STREET  ; BALTIMORE  ; MD  ; 21201,BALTIMORE  ,MD
PO441115-V2,DEPARTMENT OF MENTAL HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$9361.00,02/26/2013,WISCONSIN AVE PSYCHIATRIC CENT,4228 WISCONSIN AVE NW PSYCHIATRIC INST OF WASH  ; WASHINGTON  ; DC  ; 20016-,WASHINGTON  ,DC
PO457081,DEPART OF YOUTH REHABILITATION SERVICES,YOUTH CARE SERVICES 95,$287400.00,02/26/2013,WISCONSIN AVE PSYCHIATRIC CENT,4228 WISCONSIN AVE NW PSYCHIATRIC INST OF WASH  ; WASHINGTON  ; DC  ; 20016-,WASHINGTON  ,DC
PO457101,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$2940.00,02/26/2013,KHANH H. LE,713 CRITTENDEN STREET NE   ; WASHINGTON  ; DC  ; 20017-,WASHINGTON  ,DC
PO445633-V2,OFFICE OF CHIEF FINANCIAL OFFICER,COVERS AND ENCLOSURES (ACOUSTICAL AND PROTECTIVE) (FOR EQUIPMENT) 34,$52879.01,02/26/2013,CAPITAL SERVICES AND SUPPLIES,2804 DOUGLAS STREET NE   ; WASHINGTON  ; DC  ; 20018-,WASHINGTON  ,DC
PO445631-V2,OFFICE OF CHIEF FINANCIAL OFFICER,STAPLES 81,$24089.87,02/26/2013,CAPITAL SERVICES AND SUPPLIES,2804 DOUGLAS STREET NE   ; WASHINGTON  ; DC  ; 20018-,WASHINGTON  ,DC
PO457087,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$3500.00,02/26/2013,JAMEA RICHMOND-EDWARDS,11815 DEWEY ROAD   ; SILVER SPRING  ; MD  ; 20906-,SILVER SPRING  ,MD
PO457127,DEPARTMENT OF GENERAL SERVICES,"HEATING, VENTILATING AND AIR CONDITIONING (HVAC) 50",$350000.00,02/26/2013,JOHNSON CONTROLS INC,"1101 HAMPTON PARK BLVD BLDG C, SUITE 100  ; CAPITOL HEIGHTS  ; MD  ; 20743-",CAPITOL HEIGHTS  ,MD
PO453585-V2,DEPARTMENT OF HEALTH,HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48,$29250.00,02/26/2013,DEAF REACH,3521 12TH STREET NE   ; WASHINGTON  ; DC  ; 20017-,WASHINGTON  ,DC
PO457151,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,$5119.50,02/26/2013,NATIONAL 4-H COUNCIL,7100 CONNECTICUT AVENUE  ; CHEVY CHASE  ; MD  ; 20815-4999,CHEVY CHASE  ,MD
PO440833-V2,DEPARTMENT OF MENTAL HEALTH,HAZARDOUS MATERIAL AND WASTE SERVICES (INCLUDING NUCLEAR WASTES) 45,$5028.24,02/26/2013,STERICYCLE INC,28161 N. KEITH DR  ; LAKE FOREST  ; IL  ; 60045,LAKE FOREST  ,IL
PO442488-V2,OFFICE OF THE CHIEF MEDICAL EXAMINER,MORTUARY AND FUNERAL (INCLUDING CREMATORY SERVICES) 64,$75000.00,02/26/2013,"W. H. BACON FUNERAL HOME, INC.",3447 14TH STREET NW  ; WASHINGTON  ; DC  ; 20010,WASHINGTON  ,DC
PO457106,DEPARTMENT OF GENERAL SERVICES,COMMUNICATIONS MARKETING SERVICES 22,$3257.00,02/26/2013,MORGANS INC,900 RHODE ISLAND AVENUE NE  ; WASHINGTON  ; DC  ; 20018,WASHINGTON  ,DC
PO456815-V2,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$28105.00,02/26/2013,AMERICAN READING COMPANY,201 S. GULPH ROAD   ; KING OF PRUSSIA  ; PA  ; 19406-,KING OF PRUSSIA  ,PA
PO457124,OFFICE OF CABLE TV,CABLE TELEVISION SERVICES (INCLUDES PAY-PER-VIEW SERVICES) 24,$60000.00,02/26/2013,FLORIDA CAPTIONING SERVICES,FLORIDA CAPTIONING SERVICES 43505 INDIAN MOUND TRAIL  ; DELAND  ; FL  ; 32720-,DELAND  ,FL
PO440814-V3,DEPARTMENT OF MENTAL HEALTH,SUBSTATION/HIGH VOLTAGE (ELECTRICAL) MAINTENANCE AND REPAIR 77,$13152.00,02/26/2013,TITUS LLC,"7603 GEORGIA AVE NW, SUITE LL1   ; WASHINGTON  ; DC  ; 20012",WASHINGTON  ,DC
PO457119,DISTRICT DEPARTMENT OF THE ENVIRONMENT,SOFTWARE MAINTENANCE/SUPPORT 45,$7400.00,02/26/2013,"ENFOTECH & CONSULTING, INC.",1368 HOW LANE   ; NORTH BRUNSWICK  ; NJ  ; 08902-,NORTH BRUNSWICK  ,NJ
PO457153,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SPECIAL EDUCATION 74,$4985.84,02/26/2013,"DON JOHNSTON, INC.",26799 WEST COMMERCE DR  ; VOLO  ; IL  ; 60073,VOLO  ,IL
PO444774-V2,DEPARTMENT OF PUBLIC WORKS,CABLE TELEVISION SERVICES (INCLUDES PAY-PER-VIEW SERVICES) 24,$4458.00,02/26/2013,COMCAST CABLE COMMUNICATIONS,"900 MICHIGAN AVENUE, NE  ; WASHINGTON  ; DC  ; 20017",WASHINGTON  ,DC
PO457154,OFFICE OF CHIEF FINANCIAL OFFICER,,$3000.00,02/26/2013,IRON MOUNTAIN,1000 CAMPUS DRIVE  ; COLLEGEVILLE  ; PA  ; 19426,COLLEGEVILLE  ,PA
PO457166,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$13280.00,02/26/2013,SCHOOLWIDE INC.,65 ORVILLE DR.  ; BOHEMIA  ; NY  ; 11716,BOHEMIA  ,NY
PO457206,DEPARTMENT OF PARKS AND RECREATION,MEMBERSHIP DUES 48,$3300.00,02/27/2013,NATIONAL RECREATION AND,22377 BELMONT RIDGE ROAD  ; ASHBURN  ; VA  ; 20148,ASHBURN  ,VA
PO449134-V2,STATE SUPERINTENDENT OF EDUCATION (OSSE),SPECIAL EDUCATION 74,$9880.00,02/27/2013,JEREMY MANN DBA HANDS IN MOTIO,"2100 M STREET, NW  STE 170-275  ; WASHINGTON  ; DC  ; 20037-",WASHINGTON  ,DC
PO455570-V2,METROPOLITAN POLICE DEPARTMENT,"COPY MACHINES, DIGITAL TYPE, RENTAL OR LEASE 27",$104510.00,02/27/2013,XEROX CORPORATION,100 S. CLINTON AVENUE XRX2-40A  ; ROCHESTER  ; NY  ; 14644-,ROCHESTER  ,NY
PO457222,PUBLIC SERVICE COMMISSION,ADVERTISING/PUBLIC RELATIONS 03,$13000.00,02/27/2013,"MELTWATER NEWS US, INC","800 W EL CAMINO REAL STE,                          SUITE 260  ; MOUNTAIN VIEW  ; CA  ; 94040",MOUNTAIN VIEW  ,CA
PO457197,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$5833.34,02/27/2013,NATIONAL COLLEGIATE PREP. PCS,"4600 LIVINGSTON ROAD, SE   ; WASHINGTON  ; DC  ; 20032-",WASHINGTON  ,DC
PO457281,OFFICE OF CHIEF FINANCIAL OFFICER,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$4879.00,02/27/2013,"BRENTWORKS, INC.",1776 EYE STREET NW 9TH FLOOR   ; WASHINGTON  ; DC  ; 20006-,WASHINGTON  ,DC
PO457189,DEPARTMENT ON DISABILITY SERVICES,"POSTAGE RELATED PURCHASES (INCL. POSTAGE STAMPS, PRE-SORT 1ST CLASS INSCRIPTIONS, POSTAGE BY PHONE FOR METERS, ETC.) 57",$25000.00,02/27/2013,PITNEY BOWES,7630 LITTLE RIVER TURNPIKE                         SUITE 800M  ; ANNANDALE  ; VA  ; 22003,ANNANDALE  ,VA
PO450715-V2,PUBLIC SERVICE COMMISSION,COMPUTER HARDWARE CONSULTING 28,$23648.00,02/27/2013,JAMES MODOZIE,8910 ORBIT LANE  ; LANHAM  ; MD  ; 20706,LANHAM  ,MD
PO457195,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$4844.49,02/27/2013,CORP./WASH. LATIN SCHOOL,"4715 16TH STREET, N.W.   ; WASHINGTON  ; DC  ; 20011-",WASHINGTON  ,DC
PO457260-V2,OFFICE OF CHIEF FINANCIAL OFFICER,ADVERTISING/PUBLIC RELATIONS 03,$4800.00,02/27/2013,BALTIMORE WASHINGTON BILLBOARD,1360 RITCHIE HIGHWAY  ; ARNOLD  ; MD  ; 21012,ARNOLD  ,MD
PO457242,DEPARTMENT OF GENERAL SERVICES,ENVIRONMENTAL CONSULTING 43,$9500.00,02/27/2013,CUSTOMER FIRST RENEWABLES LLC,"1425 K STREET, NW  SUITE 350  ; WASHINGTON   ; DC  ; 20005",WASHINGTON   ,DC
